age,income,account_balance,existing_loans,marital_status,employment_status,education_level,debt_to_income_ratio,home_ownership,employment_duration,loan_purpose,state,dependents,annual_expenses,applied_for_home_loan
30,117524,80595,3,Divorced,Employed,High School,23.95,Mortgage,4,Education,FL,4,29644,0
30,78417,64261,4,Married,Self-Employed,Master's,10.58,Mortgage,9,Education,CA,4,65870,0
47,101523,34419,1,Single,Self-Employed,High School,20.29,Rent,9,Auto Loan,AZ,4,20594,1
58,39241,37074,3,Married,Employed,High School,45.05,Mortgage,23,Home Loan,AZ,4,27479,0
39,90732,8088,0,Married,Employed,Bachelor's,12.97,Rent,14,Auto Loan,FL,2,70075,0
46,116545,83280,2,Single,Self-Employed,High School,23.88,Own,1,Education,CA,2,94542,0
35,85482,19586,1,Married,Self-Employed,High School,16.26,Own,6,Home Loan,FL,1,13899,1
42,86079,84082,1,Single,Employed,Master's,12.08,Rent,17,Home Loan,AZ,3,10397,1
39,86397,22712,2,Single,Unemployed,Bachelor's,10.59,Rent,12,Education,FL,4,35456,0
26,140716,74107,1,Married,Self-Employed,Bachelor's,40.17,Mortgage,12,Education,AZ,3,63678,0
49,111700,93664,1,Married,Self-Employed,High School,47.66,Rent,24,Personal,CA,4,53237,0
30,36133,21558,1,Married,Unemployed,High School,15.84,Own,17,Auto Loan,FL,2,59139,0
30,139484,47097,3,Single,Self-Employed,Master's,14.92,Mortgage,5,Home Loan,AZ,0,76560,0
47,40560,74259,0,Divorced,Self-Employed,Bachelor's,29.76,Mortgage,7,Auto Loan,FL,3,32154,0
57,134392,67315,3,Married,Employed,Master's,12.42,Own,10,Education,CA,1,78433,0
41,35336,41001,3,Married,Self-Employed,Master's,20.95,Rent,13,Personal,CA,3,56611,0
35,124909,48140,3,Divorced,Employed,High School,20.3,Own,1,Personal,CA,3,46624,0
44,110894,37285,1,Married,Employed,Bachelor's,21.17,Own,14,Education,FL,4,23471,1
25,134278,54154,2,Divorced,Employed,High School,25.43,Rent,8,Education,CA,0,65974,0
49,74227,91373,0,Single,Self-Employed,Bachelor's,39.82,Own,29,Personal,CA,2,86839,1
40,147859,17402,1,Married,Self-Employed,High School,33.32,Own,2,Home Loan,AZ,2,49268,1
37,112203,62907,1,Married,Self-Employed,High School,17.84,Mortgage,23,Auto Loan,FL,4,41612,1
45,50996,87657,2,Single,Self-Employed,Bachelor's,33.87,Own,16,Education,CA,0,91838,0
35,38819,43367,3,Married,Employed,Master's,18.99,Own,13,Education,CA,3,26932,0
40,67214,42476,1,Married,Self-Employed,Master's,23.28,Rent,9,Home Loan,FL,1,15647,1
36,122547,60828,3,Married,Employed,Master's,38.06,Mortgage,10,Personal,CA,3,42024,0
31,57362,51779,2,Divorced,Unemployed,Master's,40.55,Rent,15,Home Loan,AZ,2,56379,0
53,112527,22505,2,Single,Employed,Master's,44.42,Own,1,Personal,AZ,3,58455,0
38,87436,90625,0,Married,Unemployed,High School,18.91,Rent,23,Education,FL,3,31620,0
54,71473,59693,4,Single,Employed,Bachelor's,36.41,Rent,24,Education,FL,1,28850,0
26,91646,88885,1,Single,Self-Employed,High School,13.15,Own,21,Auto Loan,AZ,1,88104,0
43,128573,88079,0,Single,Self-Employed,Bachelor's,11.84,Rent,4,Education,AZ,2,15228,1
37,137509,51254,0,Married,Self-Employed,High School,37.37,Rent,9,Personal,FL,2,51392,1
33,143803,42732,1,Married,Employed,Master's,22.43,Own,7,Personal,FL,2,32252,1
39,147790,70228,0,Married,Unemployed,High School,36.96,Mortgage,27,Education,FL,4,28441,0
37,96423,27545,1,Single,Employed,High School,45.34,Own,9,Education,AZ,4,43715,0
43,87772,83615,1,Single,Employed,Master's,21.09,Own,5,Auto Loan,CA,0,18508,1
46,48344,51549,4,Single,Employed,Bachelor's,42.08,Mortgage,18,Home Loan,CA,3,54543,0
31,139309,17759,0,Single,Self-Employed,Master's,17.02,Own,8,Personal,FL,0,23704,1
49,89642,97617,0,Single,Employed,Master's,15.83,Rent,24,Auto Loan,FL,0,14187,1
42,134004,92754,0,Single,Self-Employed,Bachelor's,20.56,Own,16,Home Loan,AZ,3,86327,1
48,46397,73914,1,Single,Employed,Bachelor's,21.97,Mortgage,13,Home Loan,AZ,1,35863,0
38,31223,1814,2,Divorced,Unemployed,High School,45.73,Rent,29,Personal,CA,1,37828,0
52,38628,54722,0,Divorced,Self-Employed,High School,23.74,Mortgage,19,Personal,CA,1,25524,0
39,58053,27494,3,Married,Employed,Master's,44.59,Own,10,Auto Loan,AZ,4,67468,0
46,53668,91243,1,Divorced,Self-Employed,High School,34.75,Own,17,Home Loan,FL,1,88267,0
46,143035,41219,1,Married,Employed,High School,22.08,Rent,23,Home Loan,AZ,4,31578,1
27,147829,27762,4,Divorced,Unemployed,Master's,21.75,Mortgage,11,Auto Loan,FL,2,69309,0
36,116448,89400,0,Divorced,Self-Employed,Bachelor's,32.25,Own,5,Education,CA,3,76402,1
36,131480,91126,1,Married,Self-Employed,High School,10.02,Rent,16,Home Loan,AZ,2,13172,1
54,82968,13412,4,Divorced,Unemployed,High School,17.33,Rent,6,Auto Loan,CA,2,36732,0
46,139990,69479,1,Married,Self-Employed,Bachelor's,45.82,Own,12,Personal,AZ,2,64137,0
29,69493,99491,3,Divorced,Unemployed,High School,31.84,Own,0,Education,FL,4,56717,0
51,123164,5593,1,Divorced,Unemployed,High School,37.9,Mortgage,18,Personal,FL,0,46016,0
35,106797,91858,0,Married,Employed,Master's,10.53,Own,8,Education,CA,1,11251,1
52,32175,81772,3,Divorced,Employed,Bachelor's,30.77,Own,10,Auto Loan,CA,0,87225,0
45,61939,33518,4,Single,Employed,Bachelor's,31.96,Mortgage,25,Personal,AZ,1,87240,0
49,123356,61954,0,Divorced,Employed,Bachelor's,37.63,Rent,5,Auto Loan,AZ,1,58670,1
31,112973,78696,1,Married,Self-Employed,Bachelor's,21.01,Rent,8,Personal,FL,3,23735,1
34,56681,82457,2,Single,Employed,High School,10.52,Mortgage,1,Auto Loan,FL,4,82070,0
46,96857,20198,1,Married,Self-Employed,High School,16.49,Rent,12,Auto Loan,CA,0,15974,1
41,136480,94393,1,Married,Self-Employed,Bachelor's,39.51,Rent,18,Auto Loan,CA,3,53922,1
41,104550,81365,0,Single,Employed,Bachelor's,31.91,Mortgage,15,Auto Loan,CA,0,28920,1
39,63186,11608,4,Single,Unemployed,High School,13.76,Own,18,Auto Loan,AZ,1,78375,0
55,38135,86552,3,Single,Employed,Bachelor's,12.39,Rent,19,Auto Loan,CA,1,61085,0
36,112717,65099,0,Single,Self-Employed,Master's,30.8,Own,2,Auto Loan,AZ,2,34717,1
31,136865,49732,1,Single,Employed,Bachelor's,33.89,Own,26,Auto Loan,AZ,3,56613,1
31,124020,92491,1,Single,Self-Employed,Bachelor's,32.47,Rent,6,Auto Loan,AZ,1,40266,1
36,72125,60699,1,Married,Self-Employed,High School,47.51,Rent,7,Education,AZ,0,34267,0
33,39874,99678,3,Divorced,Employed,High School,36.6,Mortgage,13,Education,AZ,0,33090,0
37,97680,28674,1,Married,Employed,Master's,18.07,Rent,5,Auto Loan,AZ,3,17646,1
43,120555,21763,0,Married,Employed,Master's,34.54,Mortgage,18,Personal,FL,3,60561,1
30,93704,25674,1,Single,Employed,Master's,24.54,Own,14,Education,CA,1,69606,1
40,109793,9962,2,Divorced,Employed,Master's,44.42,Rent,16,Education,AZ,0,73464,0
42,111118,22264,0,Single,Self-Employed,High School,21.33,Rent,5,Auto Loan,FL,4,23701,1
39,118730,37054,1,Single,Self-Employed,High School,30.17,Mortgage,27,Education,CA,4,83856,1
44,131216,83432,3,Divorced,Self-Employed,Master's,19.12,Mortgage,0,Personal,CA,1,36972,0
43,110701,89978,0,Single,Employed,Bachelor's,17.32,Rent,3,Home Loan,FL,2,19170,1
39,73898,16075,4,Married,Self-Employed,Master's,19.17,Mortgage,20,Education,CA,3,54433,0
42,70567,88797,1,Single,Employed,High School,33.47,Rent,8,Auto Loan,AZ,4,23620,1
25,133409,96281,4,Married,Self-Employed,Bachelor's,39.21,Rent,16,Home Loan,FL,3,79001,0
43,123341,85126,1,Single,Employed,Bachelor's,49.6,Rent,15,Education,CA,0,61180,0
33,139143,34420,1,Divorced,Unemployed,High School,27.04,Mortgage,25,Auto Loan,FL,2,65748,0
33,70433,34863,1,Married,Employed,Master's,24.49,Rent,18,Education,FL,3,81040,1
40,146839,52271,1,Married,Employed,Master's,28.72,Rent,8,Personal,FL,0,47772,1
29,99309,25025,1,Divorced,Self-Employed,High School,41.93,Mortgage,7,Auto Loan,AZ,1,66550,0
43,136398,2133,1,Divorced,Unemployed,Bachelor's,48.93,Rent,10,Education,CA,1,90794,0
50,32584,12201,1,Single,Unemployed,High School,42.77,Rent,6,Education,CA,0,28331,0
49,101880,60511,3,Divorced,Unemployed,High School,22.77,Own,2,Home Loan,CA,0,79550,0
39,138463,76293,3,Single,Unemployed,High School,24.7,Own,25,Auto Loan,CA,1,57060,0
42,66868,7645,1,Divorced,Unemployed,High School,36.07,Own,1,Personal,CA,4,67557,0
46,59355,56726,0,Single,Unemployed,Master's,17.1,Mortgage,11,Personal,AZ,1,22356,0
38,64492,50928,1,Single,Self-Employed,High School,22.55,Rent,15,Education,AZ,0,14541,1
34,60508,67071,1,Married,Self-Employed,Bachelor's,42.73,Own,13,Home Loan,FL,1,56362,0
25,124530,10277,2,Single,Self-Employed,Master's,17.4,Own,19,Education,FL,4,34111,0
43,129081,65532,2,Married,Employed,Master's,13.01,Rent,5,Education,AZ,2,21883,0
42,121392,25778,1,Divorced,Employed,Master's,19.96,Rent,4,Personal,FL,3,47306,1
32,108812,50681,3,Divorced,Self-Employed,High School,31.54,Mortgage,0,Personal,CA,3,73613,0
37,93101,54252,1,Married,Self-Employed,Bachelor's,34.47,Rent,4,Education,FL,1,32091,1
39,127495,57833,0,Single,Employed,Master's,19.74,Rent,7,Auto Loan,AZ,2,25165,1
27,41885,60257,0,Married,Employed,High School,15.45,Rent,25,Education,FL,2,71410,0
39,68720,34700,2,Married,Self-Employed,Master's,36.64,Mortgage,6,Auto Loan,CA,0,39068,0
32,149799,67462,0,Married,Self-Employed,Bachelor's,42.72,Mortgage,18,Home Loan,AZ,1,91209,0
30,88045,95685,0,Married,Employed,Master's,24.95,Rent,6,Personal,FL,0,21970,1
41,126443,58255,1,Married,Employed,Master's,39.89,Own,8,Auto Loan,FL,1,50438,1
50,124197,57954,0,Single,Employed,Master's,42.95,Own,22,Auto Loan,CA,1,53341,0
36,143137,50156,4,Divorced,Self-Employed,Master's,21.07,Own,29,Auto Loan,AZ,2,55908,0
50,137945,11325,1,Single,Employed,High School,40.02,Own,12,Auto Loan,FL,4,20194,0
42,77720,90480,0,Married,Self-Employed,Master's,21.14,Own,5,Personal,FL,0,16431,1
34,101798,28817,1,Single,Self-Employed,High School,40.18,Own,14,Education,CA,3,40899,0
34,112918,15621,0,Married,Self-Employed,Master's,22.92,Rent,2,Home Loan,FL,2,25883,1
38,108324,4019,2,Single,Employed,High School,26.24,Mortgage,27,Education,FL,1,85487,0
45,79488,75838,0,Married,Employed,Bachelor's,36.75,Rent,25,Education,FL,0,29212,1
49,68830,73008,2,Single,Employed,Master's,25.57,Own,28,Home Loan,FL,2,81531,0
43,83019,64946,2,Single,Unemployed,Master's,17.12,Own,9,Education,FL,2,74284,0
39,79717,46507,0,Married,Self-Employed,High School,21.3,Own,12,Home Loan,FL,2,16978,1
44,139600,15683,4,Single,Self-Employed,High School,29.4,Mortgage,26,Personal,AZ,2,41775,0
57,86518,69147,2,Single,Unemployed,High School,44.3,Mortgage,8,Auto Loan,AZ,1,31129,0
29,34842,30649,2,Married,Employed,Master's,31.51,Mortgage,9,Home Loan,AZ,1,96421,0
44,135876,43637,0,Single,Self-Employed,Master's,32.94,Rent,9,Personal,CA,0,44764,1
32,143906,86937,0,Married,Self-Employed,Master's,47.73,Rent,7,Auto Loan,FL,2,68686,0
46,90101,66691,4,Divorced,Self-Employed,Bachelor's,45.64,Mortgage,7,Home Loan,FL,2,59745,0
29,140979,85174,0,Divorced,Self-Employed,Bachelor's,14.94,Own,5,Auto Loan,CA,3,39777,0
47,31291,7794,2,Single,Unemployed,Master's,24.68,Own,15,Personal,AZ,2,64981,0
55,116843,52544,4,Single,Unemployed,Master's,14.18,Rent,14,Home Loan,FL,3,97410,0
30,54404,96420,2,Married,Employed,Bachelor's,46.13,Mortgage,15,Education,CA,4,66417,0
55,118936,40378,2,Married,Self-Employed,Master's,16.85,Mortgage,7,Home Loan,AZ,1,83587,0
33,117038,57855,4,Divorced,Self-Employed,Bachelor's,12.28,Mortgage,15,Education,AZ,2,87934,0
32,143417,57705,1,Single,Employed,Bachelor's,41.35,Rent,9,Education,AZ,2,59306,0
29,91140,59116,1,Single,Unemployed,Master's,17.39,Own,19,Auto Loan,AZ,3,70888,0
33,33536,79624,0,Married,Employed,High School,11.92,Mortgage,12,Home Loan,CA,3,27600,0
54,126312,2925,0,Married,Self-Employed,High School,20.24,Own,9,Education,AZ,0,75191,0
35,76179,10377,0,Married,Employed,High School,21.92,Rent,18,Education,AZ,1,49115,0
29,54063,79153,1,Divorced,Employed,High School,13.01,Own,13,Education,FL,2,34576,0
37,146444,88079,1,Single,Employed,Master's,10.57,Rent,11,Personal,FL,0,15472,1
48,77329,70222,1,Divorced,Employed,Bachelor's,20.79,Own,25,Auto Loan,FL,1,61365,1
31,45231,33456,4,Single,Self-Employed,Bachelor's,18.64,Mortgage,16,Personal,AZ,2,39740,0
36,30161,91858,2,Married,Unemployed,Bachelor's,21.24,Mortgage,13,Education,AZ,3,23023,0
55,67871,26593,3,Divorced,Employed,Bachelor's,28.89,Own,3,Education,FL,4,36577,0
54,83345,99337,2,Married,Employed,Master's,30.11,Rent,17,Auto Loan,AZ,3,89362,0
55,61070,28235,4,Divorced,Unemployed,Master's,27.27,Own,10,Education,FL,2,71598,0
27,88875,54430,0,Divorced,Self-Employed,Master's,15.96,Own,20,Personal,CA,3,86905,0
32,83024,39530,0,Married,Self-Employed,High School,18.74,Mortgage,28,Auto Loan,FL,4,39452,1
35,129983,61472,1,Married,Self-Employed,Bachelor's,35.74,Own,5,Education,CA,3,46459,1
43,117751,95507,0,Married,Employed,Master's,20.26,Mortgage,15,Education,AZ,2,31392,1
44,101420,32644,0,Married,Employed,Master's,31.95,Own,24,Auto Loan,CA,3,32404,1
41,89120,19865,1,Single,Employed,Master's,39.39,Rent,14,Auto Loan,CA,4,35106,1
44,113140,87095,1,Married,Employed,Master's,18.83,Own,21,Personal,FL,0,84706,1
50,140515,7513,3,Divorced,Employed,High School,29.71,Mortgage,11,Auto Loan,FL,4,89659,0
31,142622,34203,0,Single,Self-Employed,High School,48.09,Rent,4,Education,CA,0,68586,0
42,126061,46704,0,Married,Employed,Master's,11.27,Mortgage,5,Home Loan,AZ,4,83749,1
48,147690,85298,0,Married,Self-Employed,Master's,36.54,Rent,16,Personal,FL,4,41997,1
55,41831,26275,2,Married,Self-Employed,Bachelor's,17.76,Rent,27,Auto Loan,CA,1,69581,0
31,45206,62555,0,Married,Self-Employed,Bachelor's,21.16,Mortgage,22,Education,CA,0,31569,0
49,33038,56611,1,Divorced,Self-Employed,High School,38.19,Mortgage,4,Auto Loan,AZ,1,40030,0
33,146263,29647,1,Single,Self-Employed,Master's,14.56,Own,9,Personal,FL,4,21290,1
26,144928,75129,4,Single,Employed,Bachelor's,24.19,Mortgage,17,Personal,AZ,4,55519,0
44,105951,99151,0,Married,Self-Employed,Master's,35.26,Rent,25,Home Loan,AZ,3,37358,1
31,47008,39393,2,Single,Employed,Master's,41.77,Own,3,Auto Loan,AZ,3,64604,0
31,123617,36721,0,Single,Self-Employed,High School,26.49,Rent,8,Personal,AZ,3,32740,1
46,83517,36431,3,Single,Self-Employed,High School,14.96,Mortgage,8,Personal,CA,0,81214,0
38,34051,92258,0,Single,Employed,Bachelor's,33.18,Own,5,Home Loan,FL,0,83031,0
53,90358,68690,3,Divorced,Employed,Bachelor's,30.65,Own,21,Home Loan,CA,4,77613,0
33,127731,48806,0,Married,Self-Employed,High School,39.78,Rent,3,Personal,AZ,0,50806,1
25,49820,83602,0,Married,Employed,Bachelor's,39.22,Mortgage,8,Home Loan,AZ,3,21495,0
38,88670,51937,0,Married,Employed,Bachelor's,30.83,Rent,2,Education,FL,0,27338,1
54,136250,33855,1,Divorced,Self-Employed,Bachelor's,30.77,Own,6,Personal,AZ,0,61101,0
45,115207,40721,0,Married,Self-Employed,High School,15.8,Own,14,Auto Loan,FL,4,18197,1
34,52985,76225,2,Divorced,Unemployed,Master's,40.11,Rent,13,Personal,AZ,1,52688,0
40,114759,66464,2,Married,Self-Employed,High School,45.17,Own,9,Education,FL,1,33890,0
34,61634,65954,1,Married,Employed,Master's,31.24,Rent,2,Auto Loan,FL,4,19257,1
29,110801,13335,2,Single,Unemployed,Bachelor's,49.4,Rent,1,Education,AZ,2,75695,0
33,97035,20236,0,Married,Employed,Master's,26.91,Own,2,Personal,FL,4,26116,1
50,124637,79837,2,Divorced,Self-Employed,Master's,13.16,Mortgage,26,Home Loan,FL,2,55803,0
34,73467,12147,2,Divorced,Self-Employed,Bachelor's,35.85,Own,13,Home Loan,CA,4,24776,0
42,124501,64748,4,Married,Unemployed,Bachelor's,28.12,Own,10,Personal,FL,3,71315,0
39,138032,19312,0,Single,Self-Employed,Bachelor's,34.94,Rent,12,Home Loan,AZ,3,48226,1
50,131458,62727,1,Single,Self-Employed,Bachelor's,41.7,Rent,6,Education,FL,0,54823,0
48,98245,43201,1,Single,Employed,High School,17.48,Own,20,Home Loan,FL,3,17178,1
45,117448,85614,1,Single,Self-Employed,High School,41.55,Rent,20,Education,AZ,1,48795,0
36,100380,78265,0,Married,Employed,Master's,34.37,Rent,13,Auto Loan,AZ,1,34500,1
44,126195,49649,1,Single,Self-Employed,High School,19.68,Mortgage,3,Education,FL,4,38570,1
34,147418,93996,3,Divorced,Self-Employed,Bachelor's,24.25,Own,27,Personal,AZ,3,84348,0
44,42086,85108,2,Single,Unemployed,Master's,11.22,Own,8,Education,CA,3,79354,0
35,62756,24975,0,Single,Employed,Master's,15.78,Rent,8,Personal,CA,1,9905,1
31,127689,53307,0,Married,Self-Employed,High School,14.68,Mortgage,4,Personal,CA,2,97131,1
57,80265,63904,2,Single,Self-Employed,High School,34.76,Mortgage,14,Auto Loan,FL,1,36676,0
31,90835,63577,1,Married,Employed,Master's,22.46,Rent,9,Home Loan,FL,0,20402,1
33,118394,16433,2,Married,Employed,High School,47.78,Rent,21,Personal,FL,3,52208,0
30,63171,86762,0,Single,Self-Employed,High School,35.17,Rent,19,Auto Loan,CA,0,55342,1
48,83442,92576,0,Single,Self-Employed,Master's,47.62,Own,6,Home Loan,FL,2,39735,0
37,74435,60278,1,Single,Employed,Bachelor's,38.94,Rent,18,Home Loan,FL,3,28986,1
34,41423,34937,3,Married,Self-Employed,Bachelor's,19.57,Mortgage,21,Education,FL,4,73809,0
47,141400,38399,0,Single,Employed,Master's,11.39,Mortgage,27,Home Loan,CA,4,77536,1
27,110324,90880,4,Single,Unemployed,Bachelor's,17.1,Rent,18,Personal,FL,4,99220,0
41,71182,41512,0,Married,Employed,Master's,36.81,Own,13,Auto Loan,CA,2,26200,1
46,70513,70483,0,Divorced,Employed,Bachelor's,45.13,Own,12,Personal,AZ,1,81435,0
33,132075,77021,0,Married,Employed,Bachelor's,17.96,Own,15,Auto Loan,CA,1,23722,1
45,109637,76330,4,Divorced,Employed,High School,40.12,Rent,14,Personal,AZ,3,81820,0
45,85160,38532,0,Married,Self-Employed,High School,22.85,Rent,19,Personal,FL,4,70288,1
30,47047,95383,2,Divorced,Employed,High School,15.0,Own,9,Personal,CA,3,30955,0
47,87998,22373,0,Single,Employed,Bachelor's,20.97,Rent,10,Home Loan,FL,1,18454,1
54,84134,44038,1,Single,Employed,Bachelor's,41.45,Rent,22,Personal,AZ,4,34808,0
39,98871,45090,1,Single,Self-Employed,Bachelor's,28.1,Rent,6,Personal,AZ,3,27786,1
50,90795,82852,1,Single,Employed,Master's,21.41,Mortgage,6,Education,FL,2,27102,1
28,117452,46391,4,Single,Self-Employed,High School,34.48,Rent,18,Personal,AZ,2,30144,0
38,124870,77645,1,Married,Employed,Bachelor's,14.98,Rent,9,Education,AZ,2,68465,1
35,54116,31864,0,Single,Employed,High School,31.74,Own,9,Education,AZ,4,84855,0
49,118284,96635,0,Single,Self-Employed,Master's,36.49,Rent,23,Home Loan,CA,1,43160,1
46,89321,70746,3,Single,Self-Employed,Bachelor's,13.23,Rent,0,Auto Loan,AZ,3,20360,0
49,112882,50696,0,Single,Employed,High School,48.47,Rent,24,Personal,CA,3,54717,0
29,102366,19422,0,Divorced,Unemployed,Master's,45.07,Rent,1,Home Loan,AZ,3,53586,0
40,36228,50332,2,Married,Unemployed,Bachelor's,47.26,Mortgage,4,Home Loan,AZ,2,57973,0
34,135808,9561,3,Single,Employed,High School,29.71,Own,26,Personal,CA,0,35852,0
32,96852,9573,0,Divorced,Self-Employed,Master's,11.86,Mortgage,26,Personal,AZ,1,95219,0
52,121042,22119,1,Single,Self-Employed,Master's,43.66,Mortgage,11,Personal,AZ,2,58151,0
36,68567,27137,1,Married,Unemployed,Master's,31.56,Mortgage,0,Education,FL,2,79800,0
47,44086,42095,2,Married,Unemployed,High School,10.82,Mortgage,28,Education,CA,3,62214,0
39,61130,95843,0,Single,Self-Employed,High School,25.07,Rent,2,Personal,CA,2,78060,1
51,123773,20623,4,Married,Employed,High School,29.24,Rent,18,Education,AZ,0,30469,0
56,34240,51589,1,Divorced,Self-Employed,High School,31.77,Own,16,Home Loan,AZ,0,70576,0
39,103694,64883,0,Single,Employed,Master's,18.53,Own,13,Education,CA,1,19219,1
39,136079,2469,2,Single,Employed,High School,44.73,Rent,26,Auto Loan,FL,0,90454,0
31,129113,84373,0,Divorced,Employed,Bachelor's,20.0,Own,16,Personal,AZ,0,81056,1
29,102071,57410,3,Single,Employed,Master's,25.22,Rent,18,Home Loan,CA,2,90926,0
26,110602,40284,4,Married,Employed,Master's,12.0,Rent,9,Personal,FL,0,41260,0
31,132467,78385,0,Married,Employed,Master's,16.47,Own,12,Auto Loan,CA,3,21820,1
38,90267,16513,0,Single,Self-Employed,Bachelor's,46.87,Mortgage,22,Education,CA,1,68740,0
40,102033,54000,1,Married,Employed,Master's,31.24,Mortgage,13,Education,CA,0,49379,1
